,time,label,baro,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
0,0.0,0,644.67,0,0,0,0,0,0,0,72
1,0.5181562900543213,0,644.66,0,0,0,0,0,0,0,72
2,1.068702220916748,0,644.72,0,0,0,0,0,0,0,72
3,1.63139009475708,0,644.85,0,0,0,0,0,0,0,72
4,2.143268585205078,0,644.79,0,0,0,0,0,0,0,72
5,2.703453302383423,0,644.74,0,0,0,0,0,0,0,72
6,3.3144302368164062,0,644.86,0,0,0,0,0,0,0,72
7,3.8409225940704346,0,644.84,0,0,0,0,0,0,0,72
8,4.415394306182861,0,644.83,0,0,0,0,0,0,0,72
9,4.93815279006958,0,644.84,0,0,0,0,0,0,0,72
10,5.4619972705841064,0,644.88,0,0,0,0,0,0,0,72
11,5.993377923965454,0,644.81,0,0,0,0,0,0,0,72
12,6.534917116165161,0,644.78,0,0,0,0,0,0,0,72
13,7.050171136856079,0,644.81,0,0,0,0,0,0,0,72
14,7.584578275680542,0,644.77,0,0,0,0,0,0,0,72
15,8.09721064567566,0,644.81,0,0,0,0,0,0,0,72
16,8.63694429397583,0,644.84,0,0,0,0,0,0,0,72
17,9.163778066635132,0,644.86,0,0,0,0,0,0,0,72
18,9.688724994659424,0,644.84,0,0,0,0,0,0,0,72
19,10.236990213394165,0,644.87,0,0,0,0,0,0,0,72
20,10.757137298583984,0,644.88,0,0,0,0,0,0,0,72
21,11.31445598602295,0,644.79,0,0,0,0,0,0,0,72
22,11.828657865524292,0,644.8,0,0,0,0,0,0,0,72
